uid,total_facebook_statuses,account_membership_period,service_support_calls,number_of_snaps,total_whatsapp_charge,sub_country_code,total_twitter_tweets,country,total_email_characters,email_plan,total_whatsapp_msg_characters,social_account_number,total_whatsapp_msgs,total_facebook_charge,total_twitter_charge,snapchat_plan,total_email_charge,total_twitter_tweet_characters,total_emails,total_facebook_status_characters
29,97,84,3,42,11.74,510,118,CT,7.6,no,260.8,351-1007,72,28.1,19,yes,2.05,223.5,7,165.3
30,126,147,2,38,12.73,415,109,NE,14.1,no,282.9,400-7280,91,41.38,23.27,yes,3.81,273.8,8,243.4
31,114,84,1,0,9.8,415,107,MN,9.8,no,217.8,333-6296,104,36.74,16.79,no,2.65,197.5,3,216.1
32,80,64,1,22,10.38,415,84,WV,7.6,no,230.7,357-2748,67,34.07,11.14,yes,2.05,131.1,5,200.4
33,133,13,0,0,10.24,415,86,MS,11.5,no,227.6,413-7468,80,51.54,14.49,no,3.11,170.5,3,303.2
34,97,36,3,0,11.69,415,104,RI,7,no,259.7,366-8382,110,39.97,16.73,no,1.89,196.8,7,235.1
35,91,92,0,0,8.94,415,115,WI,9.3,yes,198.6,421-9401,73,44.93,13.68,no,2.51,160.9,5,264.3
36,115,100,1,26,9.61,415,146,AZ,15.9,no,213.5,331-9861,104,26.13,11.71,yes,4.29,137.8,5,153.7
37,114,74,3,0,7.47,415,96,AK,6.6,no,165.9,336-6533,90,44.59,16.91,no,1.78,198.9,5,262.3
38,122,100,1,0,12.37,408,92,UT,5.1,no,274.9,370-9296,92,31.45,15.51,no,1.38,182.5,8,185
39,111,74,3,0,13.01,510,42,AR,9.9,no,289.2,329-9046,83,25.25,12.45,no,2.67,,6,148.5
40,119,130,2,0,9.94,408,120,VA,6.3,no,220.9,389-7012,80,35.9,19.64,no,1.7,231.1,9,211.2
41,130,95,1,39,8.8,415,111,WY,,no,195.6,340-4236,97,44.34,18.14,yes,2.73,213.4,5,260.8
42,87,95,0,23,,415,101,OH,7.4,no,191.1,329-8056,122,27.25,17.2,yes,2,202.4,3,160.3
43,83,112,3,0,7.56,510,89,AL,7.1,no,168,339-5659,116,32.2,18.62,no,1.92,219,8,189.4
44,144,84,2,0,5.86,510,122,ND,13.2,no,130.2,384-5027,121,38.57,17.14,no,3.56,201.6,5,226.9
45,104,108,0,0,6.3,415,92,IN,15.2,no,140.1,392-2268,57,33.88,19.06,no,4.1,224.2,2,199.3
46,92,90,1,0,,415,91,WI,,no,249,420-8308,98,34.15,13.97,no,2.4,164.3,7,200.9
47,99,129,1,32,10.57,510,89,PA,11.4,no,234.8,364-5126,96,35.87,13.18,yes,3.08,155.1,5,211
48,125,118,2,39,10.31,415,113,ND,,no,229,329-3458,99,15.56,18.69,yes,3.43,219.9,8,91.5
49,78,69,0,27,12.24,510,89,MS,16.4,no,271.9,342-8320,102,45.7,20.96,yes,4.43,246.6,3,268.8
50,86,63,0,49,7.69,510,89,AR,8.2,no,170.8,330-5168,139,36.53,16.85,yes,2.21,198.2,5,214.9
51,92,115,1,0,8.59,415,107,MN,8.8,no,190.9,417-7722,96,34.03,20.82,no,2.38,244.9,3,200.2
52,90,79,1,0,9.56,415,91,TX,13,no,212.4,330-8142,129,24.48,11.54,no,3.51,135.8,4,144
53,138,87,1,36,10.24,408,102,IL,10.8,yes,227.6,417-1360,97,29.1,15.79,yes,2.92,185.8,3,171.2
54,117,93,1,38,8.69,510,122,NJ,14,yes,193.2,384-5632,125,38.37,10.17,yes,3.78,119.6,7,225.7
55,108,22,1,0,8.68,510,88,NV,12.5,no,192.9,393-6475,115,27.27,18.54,no,3.38,218.1,4,160.4
56,80,120,3,0,11.94,415,82,FL,4.7,no,265.4,380-7321,91,30.6,19.06,no,1.27,224.2,7,180
57,114,38,2,0,9.15,415,105,MS,14.4,no,203.4,386-2970,98,19.94,17.74,no,3.89,208.7,2,117.3
58,123,135,4,0,3.86,415,64,OH,,no,85.8,412-2947,80,37.2,20.64,no,2.78,242.8,3,218.8
59,109,28,2,0,8.64,510,58,RI,14.1,no,191.9,328-8230,91,30.74,24.55,no,3.81,288.8,6,180.8
60,118,177,1,0,8.64,415,73,AK,11.3,yes,191.9,384-6132,87,42.28,14.65,no,3.05,172.3,2,248.7
61,77,78,0,0,11.38,408,114,WA,11.7,no,252.9,372-7326,107,23.92,16.59,no,3.16,195.2,5,140.7
62,90,114,1,36,8.26,415,89,SD,14.2,no,183.5,351-7369,105,52.68,17.03,yes,3.83,200.3,2,309.9
63,89,34,2,0,8.02,415,71,MA,11,no,178.2,374-1981,76,49.93,23.16,no,2.97,272.5,10,293.7
64,103,117,1,0,8.33,415,108,NM,11.5,no,185.2,340-3182,96,24.36,17.96,no,3.11,211.3,3,143.3
65,131,129,1,0,7.95,415,105,NC,11.1,no,176.6,347-5113,135,9.3,21.77,no,3,256.1,4,54.7
66,98,59,1,0,12.01,408,92,VT,11.9,no,266.9,357-5801,86,25.81,17.84,no,3.21,209.9,5,151.8
67,52,85,1,0,11.36,408,104,AZ,,no,252.5,354-4445,106,34.24,19.5,no,3.24,229.4,3,201.4
68,93,47,2,30,10.17,415,140,TN,12.9,no,226,332-3544,118,33.42,20.52,yes,3.48,241.4,4,196.6
69,99,89,3,0,12.64,415,115,WY,15.9,no,280.9,378-6924,112,19.62,17.84,no,4.29,209.9,6,115.4
70,90,73,1,0,8.68,415,88,TX,13,no,192.8,373-2782,74,38.15,13.56,no,3.51,,2,224.4
71,77,36,1,0,,415,151,IN,8.4,no,275.8,405-8867,103,43.08,15.5,no,2.27,182.4,2,253.4
72,128,132,1,15,6.69,415,106,HI,9.1,no,148.6,405-3335,90,26.28,20.88,yes,2.46,245.6,4,154.6
73,121,117,1,0,9.04,415,83,OK,7.7,no,200.9,344-6495,104,22.9,15.3,no,2.08,180,3,134.7
74,70,71,0,0,10.16,415,122,CO,12.3,no,225.8,332-9896,104,35.9,21.48,no,3.32,252.7,3,211.2
75,104,138,4,0,7.54,510,114,DE,9.6,yes,167.5,380-7816,95,7.91,15.81,no,2.59,186,4,
76,55,113,1,0,6.66,415,105,NJ,12.2,no,148.1,397-6425,83,31.62,20.18,no,3.29,237.4,6,186
77,82,138,1,0,8.29,510,147,IL,9.4,yes,184.2,331-6629,77,28.78,18.52,no,2.54,217.9,9,169.3
78,72,77,2,0,12.38,415,126,ID,9.8,no,275.2,362-9748,109,42.81,17.48,no,2.65,,7,251.8
79,124,33,0,35,14.3,415,69,TN,15,no,317.8,360-9038,103,31.76,22.19,yes,4.05,261,5,186.8
80,93,181,1,27,9.71,415,127,AL,10.6,no,215.7,330-9294,82,32.35,21.17,yes,2.86,,4,190.3
81,96,3,1,0,8.14,510,82,TN,7.7,yes,180.8,407-8012,103,27.37,20.82,no,2.08,244.9,6,
82,88,113,1,0,5.31,510,112,WV,6.6,no,117.9,386-6408,118,12.33,17.34,no,1.78,204,3,
83,97,50,2,35,9.73,415,101,MI,7.9,no,216.2,361-3779,101,32.74,11.49,yes,2.13,135.2,2,192.6
84,127,98,1,0,8.18,510,88,ND,5.1,no,181.8,347-9737,129,31.82,16.63,no,1.38,195.6,4,187.2
85,93,64,0,33,11.13,510,104,NC,8.1,yes,247.4,341-2603,109,21.62,13.85,yes,2.19,162.9,13,127.2
86,78,63,1,0,10.7,415,133,OK,12.8,no,237.7,388-7355,121,21.88,20.47,no,3.46,240.8,6,128.7
87,102,50,0,0,,408,108,NH,11.1,no,210.2,339-4636,95,26.3,25.33,no,3,298,3,154.7
88,142,106,2,0,8.91,415,139,TN,8.4,no,197.9,367-2436,61,20.26,19.41,no,2.27,228.4,9,119.2
89,134,95,4,0,9.36,408,71,NH,10.1,yes,208,400-8538,120,38.91,21.73,no,2.73,,2,228.9
90,98,169,3,0,12.36,415,78,DC,6.5,yes,274.7,406-5870,103,9.71,16.97,no,1.76,199.7,6,57.1
91,107,140,0,0,10.13,408,99,TX,13.9,no,225.1,417-8617,93,33.12,14.53,no,3.75,170.9,4,194.8
92,85,121,1,44,,408,120,NV,12,no,246.8,419-2369,98,19.72,12.76,yes,3.24,150.1,2,116
93,135,97,1,24,3.18,415,58,WY,11,no,70.6,405-7146,79,22.64,18.46,yes,2.97,217.2,3,133.2
94,89,119,3,0,11.88,408,78,NH,13.5,no,263.9,420-3192,98,23.51,14.49,no,3.65,170.5,6,138.3
95,74,157,1,0,8.86,415,96,CO,,no,196.8,388-7701,81,33.32,18.14,no,2.13,,6,196
96,126,146,1,0,9.71,415,95,VA,10.5,yes,215.7,391-4358,82,18.89,26.64,no,2.84,313.4,6,
97,120,137,0,0,6.14,408,98,WV,10.2,no,136.5,330-3589,121,29.65,13.29,no,2.75,156.3,5,174.4
98,147,64,2,0,12.09,415,87,HI,5.5,no,268.7,414-6638,114,33.01,14.74,no,1.49,173.4,2,194.2
99,134,79,2,0,10.8,408,111,IL,8.4,yes,239.9,412-6019,124,17.6,27.14,no,2.27,319.3,4,103.5
100,109,114,2,0,9.63,415,97,OH,10.1,no,213.9,369-4012,102,31.93,13.14,no,2.73,154.6,3,187.8
101,100,109,3,0,6.27,415,103,WV,7.8,no,139.4,405-2653,105,30.6,19.47,no,2.11,229,8,180
102,67,208,2,0,8.18,510,113,TX,10.7,no,181.7,378-3625,102,55.51,14.99,no,2.89,176.3,6,326.5
103,112,108,3,0,11.41,510,73,FL,9.2,no,253.6,365-1688,90,35.82,20.29,no,2.48,238.7,5,210.7
104,95,92,2,44,7.31,415,73,NV,10,no,162.4,404-3105,121,25.84,23.37,yes,2.7,274.9,1,152
105,104,128,0,29,14.54,510,86,VT,8.6,no,323,388-6441,78,30.48,19.2,yes,2.32,225.9,7,179.3
106,90,87,2,0,11.06,510,68,KS,13.1,no,245.7,343-3961,69,19.62,22.32,no,3.54,262.6,5,
107,97,151,1,17,7.61,408,90,KY,8.6,no,169.1,396-8265,44,36.5,11.77,yes,2.32,138.5,4,214.7
108,79,169,1,0,9.94,415,85,ID,13.3,no,220.9,399-9239,97,40.07,11.64,no,3.59,136.9,10,235.7
109,60,131,1,24,9.48,415,78,MT,9.4,no,210.6,353-3492,121,23.1,19.82,yes,2.54,233.2,4,135.9
110,120,126,0,0,9.09,510,71,KY,10.6,no,201.9,375-1721,93,29.82,8.36,no,2.86,98.3,1,175.4
111,124,79,1,0,10.71,415,95,HI,11.4,no,237.9,334-5263,55,7.12,17.94,no,3.08,211,5,41.9
112,123,158,2,0,9.95,510,112,CA,8.6,no,221,379-5503,116,26.5,19.06,no,2.32,224.2,8,155.9
113,100,133,0,0,10.98,408,105,OH,11.8,no,244.1,380-4374,119,20.03,16.93,no,3.19,199.2,4,117.8
114,91,129,2,0,5.01,415,106,IL,9.2,no,111.4,395-1718,101,33.73,22.5,no,2.48,264.7,2,198.4
115,109,94,1,0,,408,80,WY,,no,238.2,344-4022,117,35.19,14.23,no,0.7,167.4,6,207
116,89,162,2,0,9.56,415,111,NV,11.4,no,212.4,380-6571,98,19.57,16.73,no,3.08,196.8,3,115.1
117,129,121,3,30,,408,77,CO,5.8,no,181.2,370-7574,77,33.73,6.4,yes,1.57,75.3,3,198.4
118,145,129,1,0,7.09,408,116,TN,7.1,no,157.6,352-4534,107,17.24,21.17,no,1.92,249.1,6,101.4
119,92,104,2,0,10.65,408,87,SD,,no,236.6,406-2678,65,34.03,10.09,no,1.62,118.7,6,200.2
120,103,111,2,0,8.53,415,102,SC,7.7,no,189.6,350-2565,105,18.77,11.67,no,2.08,137.3,6,110.4
121,118,162,1,0,8.12,408,95,UT,11.6,no,180.5,398-1959,82,31.37,19.04,no,3.13,224,3,184.5
122,97,136,1,0,5.36,408,85,WA,5,no,119.1,403-5575,99,25.94,17.76,no,1.35,208.9,10,152.6
123,99,105,4,0,9.66,408,95,NE,11.1,no,214.7,327-6764,114,27.59,18.06,no,3,212.5,8,162.3
124,94,121,2,28,10.68,510,76,VA,6.4,no,237.3,339-2792,87,18.7,12.03,yes,1.73,,3,110
125,78,93,1,0,7.01,510,106,MD,11.1,yes,155.7,384-3299,103,22.34,18.67,no,3,219.7,2,131.4
126,108,125,2,0,7.05,408,107,RI,9.2,no,156.6,410-3159,61,19.21,14.38,no,2.48,,5,113
127,139,162,0,33,5.73,510,78,LA,12.3,no,127.4,373-6681,106,31.37,15.57,yes,3.32,183.2,6,184.5
128,71,52,2,24,7.15,415,80,AK,4.1,no,159,356-5244,124,29.05,17.12,yes,1.11,201.4,5,170.9
129,83,89,0,0,7.64,408,88,KY,6.1,no,169.7,341-1594,138,32.66,13.91,no,1.65,163.6,3,192.1
130,105,94,4,0,8.53,408,101,IN,8,no,189.6,402-1251,84,26.84,13.18,no,2.16,,5,157.9
131,96,74,2,0,11.59,408,94,MT,8.3,no,257.6,339-7541,123,29.6,21.34,no,2.24,251.1,5,174.1
132,95,137,1,0,13,510,82,VT,0,no,288.8,348-9145,78,16.58,16.64,no,0,195.8,0,97.5
133,86,80,1,0,10.68,415,97,OR,9.5,no,237.3,375-4900,145,19.24,15.77,no,2.57,185.5,5,113.2
134,71,91,1,0,10.44,510,116,WI,10.6,no,232.1,398-3176,110,37.04,19.56,no,2.86,230.1,2,217.9
135,124,127,1,28,10.85,415,113,TN,7.7,no,241.2,339-7684,127,40.05,20.13,yes,2.08,236.8,2,235.6
136,117,111,0,0,11.98,415,91,NY,9.7,no,266.2,382-4872,123,30.91,13.44,no,2.62,158.1,9,
137,107,186,2,26,13.33,415,116,MN,14.5,no,296.3,335-3913,90,12.63,15.07,yes,3.92,177.3,3,74.3
138,131,141,3,0,6.08,415,120,VA,7.2,no,135,333-7749,119,44.23,15.23,no,1.94,179.2,8,260.2
139,108,107,3,0,6.98,415,110,CO,13.4,no,155,336-5495,102,34.77,13.8,no,3.62,162.4,1,204.5
140,82,125,0,0,8.42,415,85,MN,10.1,no,187.1,343-2689,74,40.92,22.9,no,2.73,269.4,3,240.7
141,113,92,2,0,10.99,415,122,ME,9.4,yes,244.2,376-8573,98,22.22,22.15,no,2.54,260.6,2,130.7
142,85,54,2,0,10.99,415,93,AR,10.2,no,244.3,337-1586,132,42.08,19.16,no,2.75,,2,
143,121,162,1,0,9.14,408,136,CT,12.1,no,203,363-3763,97,8.36,12.23,no,3.27,143.9,13,49.2
144,114,159,1,0,8.72,415,105,WV,,no,193.7,377-1164,82,28.87,16.8,no,3.13,197.7,4,169.8
145,77,149,1,20,,415,88,LA,14.3,no,190.7,328-7209,76,33.81,23.29,yes,3.86,274,9,198.9
146,165,91,5,0,10.8,415,121,MI,11.7,no,239.9,390-7930,81,26.25,14.31,no,3.16,168.3,4,154.4
147,93,159,2,23,7.26,415,88,SC,12.6,no,161.3,394-9825,91,26.11,18.44,yes,3.4,216.9,3,153.6
148,99,129,2,31,8.89,510,87,MN,10.3,no,197.6,368-6892,91,32.81,19.11,yes,2.78,224.8,8,193
149,106,105,0,0,,415,77,MI,11.6,no,203.9,376-5213,107,38.57,15.49,no,3.13,182.2,2,226.9
150,142,121,1,0,9.59,510,88,WV,8.4,no,213.2,401-2468,51,30.12,10.5,no,2.27,123.5,6,177.2
151,91,123,0,0,11.28,408,123,ME,11,no,250.6,381-4562,102,19.45,18.41,no,2.97,216.6,3,114.4
152,107,125,2,39,7.89,415,110,GA,,no,175.4,380-6342,107,40.14,24.58,yes,2.46,289.2,4,236.1
153,69,63,0,0,9.09,510,135,WV,14.7,no,202.1,328-9797,94,44.51,20.83,no,3.97,,4,261.8
154,89,113,1,32,7.51,415,124,AZ,8.4,no,166.9,346-8112,124,30.67,11,yes,2.27,129.4,2,180.4
155,67,102,2,0,6.39,408,103,VA,9.9,no,141.9,348-5038,72,26.61,17.37,no,2.67,204.3,2,
156,122,98,0,0,6.91,408,110,CO,13.3,no,153.6,386-7337,104,40.15,16.1,no,3.59,189.4,4,236.2
157,70,126,1,0,6.91,408,80,UT,7.8,no,153.5,338-9472,60,35.97,18.44,no,2.11,216.9,1,211.6
158,134,93,2,36,5.71,415,102,CA,8,no,126.8,356-5491,82,30.38,15.18,yes,2.16,178.6,4,178.7
159,117,108,0,0,9.06,415,103,UT,9.4,no,201.4,355-9356,68,35.8,13.96,no,2.54,164.2,5,210.6
160,104,141,1,0,13.69,415,114,WA,10.8,no,304.2,401-7575,109,25.76,20.59,no,2.92,242.2,2,151.5
161,100,70,0,0,7.05,415,83,WI,12.1,no,156.6,405-9233,89,1.34,11.59,no,3.27,,1,
162,104,95,1,0,10.64,415,95,WV,,no,236.5,356-7511,80,22.85,12.95,no,2.54,,3,134.4
163,150,64,1,19,9.86,408,123,NC,7.5,no,219.1,387-7757,67,49.49,19.27,yes,2.03,226.7,2,291.1
164,136,108,2,35,9.66,415,101,KY,9.5,no,214.6,393-9424,105,28.87,14.76,yes,2.57,173.7,7,169.8
165,97,19,1,34,11.74,510,97,TX,,no,260.9,409-3520,135,26.62,19.06,yes,3.05,224.2,1,156.6
166,121,80,0,0,,510,110,WY,7.3,no,137.7,400-5389,74,17.19,22.37,no,1.97,,5,101.1
167,109,69,1,0,11.52,415,105,NV,14.1,no,256.1,387-2698,114,26.13,16.49,no,3.81,194,6,153.7
168,99,78,2,0,10.95,408,88,OH,9.3,no,243.3,368-8555,109,32.88,9.94,no,2.51,116.9,4,
169,83,131,3,0,,408,94,NY,13.7,yes,147.9,406-8995,95,20.79,10.1,no,3.7,118.8,3,122.3
170,80,87,2,0,,415,89,MI,16.6,no,133.5,405-4303,96,33.71,15.9,no,4.48,187,4,198.3
171,81,33,2,0,9.5,408,96,AR,8.4,no,211.2,371-9602,87,42.82,16.54,no,2.27,194.6,3,251.9
172,80,146,3,32,6.67,415,91,AL,8.2,no,148.2,358-1129,107,26.18,15.77,yes,2.21,185.5,4,154
173,101,82,1,0,6.39,415,83,LA,13.5,no,142.1,353-5557,103,33.61,10.85,no,3.65,127.6,3,197.7
174,90,49,2,0,9.23,415,117,UT,14,no,205,394-4520,98,45.27,17.66,no,3.78,207.8,2,266.3
175,95,1,0,30,11.17,415,110,NJ,8.4,no,248.3,420-6780,110,31.13,19.77,yes,2.27,232.6,2,183.1
176,116,82,1,0,12.95,408,99,WV,7.8,no,287.7,388-6658,95,24.43,14.51,no,2.11,170.7,5,143.7
177,135,148,1,21,6.32,415,96,AL,8.1,no,140.5,393-4528,109,44.69,12.71,yes,2.19,149.5,4,
178,118,125,0,0,11.87,415,111,CT,9.6,yes,263.8,409-7523,112,31.84,13.66,no,2.59,160.7,2,187.3
179,130,170,0,37,10.93,510,103,ID,13,no,243,343-2465,93,30.28,20.64,yes,3.51,242.8,4,
180,104,64,0,48,6.63,510,101,MO,4.5,no,147.4,389-1475,89,16.05,11.58,yes,1.22,136.2,4,94.4
181,128,89,1,0,8.34,415,92,CO,7.6,no,185.3,388-8722,120,30.55,25.48,no,2.05,299.8,3,179.7
182,133,72,2,0,10.24,510,96,OR,11.2,no,227.5,345-7900,97,24.02,11.47,no,3.02,134.9,3,141.3
183,107,132,1,0,12.24,510,127,OR,12.6,no,272,353-6056,88,32.62,17.59,no,3.4,206.9,2,191.9
184,100,106,3,9,3.6,510,109,KY,8.2,no,79.9,379-2523,86,15.05,27.61,yes,2.21,324.8,4,88.5
185,100,13,2,0,11.67,408,79,MA,13.6,no,259.3,411-4293,112,37.47,17.95,no,3.67,211.2,8,220.4
186,83,36,1,0,8.91,510,103,KS,10.9,no,198,368-8835,119,30.36,18.11,no,2.94,213.1,5,178.6
187,107,30,0,0,12.93,415,76,SD,11.3,no,287.4,354-8088,90,42.06,14.95,no,3.05,175.9,2,247.4
188,95,74,2,0,12.62,408,36,CT,7.6,no,280.4,384-3389,77,26.71,18.11,no,2.05,213.1,3,157.1
189,65,13,2,25,4.7,510,96,WA,11.3,no,104.5,397-6064,128,30.02,14.68,yes,3.05,172.7,5,176.6
190,102,34,0,0,8.4,415,101,VA,9.9,no,186.6,392-9342,86,25.67,11.17,no,2.67,131.4,7,151
191,106,139,5,0,8.71,510,98,MN,,no,193.6,374-9107,125,22.85,17.96,no,2.75,211.3,2,134.4
192,128,96,1,0,8.05,415,87,OH,14.9,no,178.9,347-6812,92,18.12,24.21,no,4.02,284.8,7,106.6
193,78,134,0,32,7.83,415,111,IA,8.6,no,174,373-7037,83,36.86,8.69,yes,2.32,,2,216.8
194,145,114,1,0,8.72,510,101,TN,10.1,no,193.7,343-3846,100,29.24,23.49,no,2.73,276.4,9,172
195,80,42,0,32,8.57,415,123,NJ,8.1,no,190.4,406-1247,106,27.85,15.11,yes,2.19,177.8,5,163.8
196,79,87,1,0,6.44,408,105,MA,4.2,no,143.1,337-2986,90,31.77,15.52,no,1.13,182.6,14,186.9
197,103,158,1,0,13.6,415,95,MI,10.3,no,302.2,348-5569,82,33.3,7.57,no,2.78,89.1,3,195.9
198,100,64,1,43,,415,108,IA,8.5,no,158.1,374-1836,91,20.13,12.25,yes,2.3,144.1,6,
199,107,145,1,30,,510,116,MS,11.1,yes,233.6,405-6398,85,29.8,13.03,yes,3,153.3,3,175.3
200,104,191,1,0,9.47,408,120,WV,10.9,no,210.4,351-8398,83,27.54,20.5,no,2.94,241.2,7,162
201,104,147,2,0,6.72,510,78,DE,11.3,no,149.4,400-2203,123,35.6,11.26,no,3.05,132.5,3,209.4
202,87,9,2,16,10.29,415,108,NY,11.5,no,228.7,398-8588,96,15.05,15.2,yes,3.11,178.8,3,88.5
203,116,104,4,0,9.72,408,112,AZ,11.7,no,215.9,420-3346,94,28.49,18.63,no,3.16,219.2,2,167.6
204,75,99,7,0,11.47,415,111,VT,11.5,no,254.9,380-8727,98,19.64,18.54,no,3.11,218.1,7,115.5
205,97,135,1,0,7.85,415,118,OR,11,no,174.4,353-3994,126,33.12,20,no,2.97,235.3,3,194.8
206,72,90,2,0,9.45,408,93,MA,12.2,no,210,406-1730,86,26.84,19.89,no,3.29,234,5,157.9
207,80,109,1,0,8.93,415,94,KY,10.2,no,198.4,384-6372,103,29.85,20.23,no,2.75,238,6,175.6
208,64,99,3,0,,415,99,CT,8.9,no,321.3,363-8824,98,24.94,23.29,no,2.4,,1,146.7
209,115,117,3,31,11.85,415,125,OK,,no,263.4,394-2553,104,17.83,20.2,yes,2.08,,6,104.9
210,92,66,1,16,13.74,415,105,NJ,8.9,no,305.4,410-5713,98,29.7,19.73,yes,2.4,232.1,2,174.7
211,53,61,3,33,9.08,415,116,MI,10.9,no,201.7,349-5617,102,46.02,17.06,yes,2.94,200.7,3,270.7
212,80,90,3,0,7.88,415,105,CT,14.2,no,175,334-4438,111,6.43,13.2,no,3.83,155.3,5,37.8
213,91,135,2,0,9.77,415,104,MI,5.9,no,217.2,393-2524,118,40.78,15.05,no,1.59,177.1,3,239.9
214,145,204,3,0,8.61,510,95,MD,14.1,no,191.4,401-3077,77,34.88,13.16,no,3.81,154.8,5,
215,88,119,3,0,10.39,408,79,MD,10.9,no,230.9,401-9665,92,40.65,20.7,no,2.94,243.5,3,239.1
216,108,61,2,0,6.88,408,74,MO,9.8,no,152.9,364-1969,94,7.65,12.86,no,2.65,151.3,6,45
217,109,90,1,29,8.03,408,103,SC,5.8,no,178.4,407-6748,97,25.52,22.5,yes,1.57,264.7,4,150.1
218,114,89,0,19,5.56,415,132,IL,11.1,yes,123.5,380-4080,116,19.14,22.24,yes,3,261.7,2,112.6
219,127,121,3,44,8.83,415,108,VT,8.7,yes,196.2,400-3343,129,43.2,15.32,yes,2.35,180.2,4,254.1
220,78,16,0,0,7.48,510,108,WI,10.8,no,166.2,405-5305,91,39.03,17.48,no,2.92,,2,229.6
221,107,82,1,0,12.94,408,114,AL,10.1,no,287.6,406-8037,95,26.18,8.02,no,2.73,,7,154
222,112,98,2,31,,415,100,HI,,no,236.3,395-5015,121,30.87,18.76,yes,3.48,220.7,4,181.6
223,102,153,0,0,9.14,415,136,FL,12.5,no,203.1,399-8846,109,38.91,13.66,no,3.38,160.7,2,228.9
