uid,total_facebook_statuses,account_membership_period,service_support_calls,number_of_snaps,total_whatsapp_charge,sub_country_code,total_twitter_tweets,country,total_email_characters,email_plan,total_whatsapp_msg_characters,social_account_number,total_whatsapp_msgs,total_facebook_charge,total_twitter_charge,snapchat_plan,total_email_charge,total_twitter_tweet_characters,total_emails,total_facebook_status_characters,turn_anti_social
43,87,131,3,28,10.8,415,138,KS,7.6,no,239.9,401-5012,92,42.43,19.31,yes,2.05,227.2,3,249.6,0
44,88,90,2,0,7.19,415,108,TX,11,no,159.7,399-4413,121,18.63,11.7,no,2.97,137.6,5,109.6,0
45,95,144,1,0,5.4,510,90,FL,11.6,no,120,384-5004,90,47.35,20.46,no,3.13,240.7,5,278.5,1
46,93,88,3,0,8.72,415,80,IN,8.3,no,193.8,354-7201,88,31.2,14.49,no,2.24,170.5,5,183.5,0
47,102,142,1,0,8.88,510,110,WI,9.9,no,197.3,397-4968,120,39.46,14.3,no,2.67,168.2,3,232.1,0
48,117,73,2,47,7.86,415,114,CT,6.3,no,174.6,356-1654,94,29.53,17.34,yes,1.7,204,3,173.7,0
49,129,50,1,24,14.06,408,55,GA,10.6,no,312.5,377-1218,130,36.43,24.63,yes,2.86,289.8,4,214.3,0
50,91,54,3,0,7.21,510,130,NY,11.2,yes,160.3,390-6932,98,40.17,12.99,no,3.02,,8,236.3,0
51,97,119,1,26,6.41,415,110,WA,6.6,no,142.4,380-6631,92,27.42,21.28,yes,1.78,250.3,8,161.3,0
52,108,89,1,0,8.18,510,90,DE,5.4,yes,181.7,376-1677,108,21.35,18.11,no,1.46,,5,125.6,0
53,122,118,2,0,8.79,415,78,HI,9.7,no,195.3,379-8526,108,43.04,17.09,no,2.62,201,7,253.2,0
54,116,145,1,0,10.83,415,91,ND,9,no,240.7,378-1936,115,41.79,24.37,no,2.43,286.7,13,245.8,1
55,102,130,0,0,10.43,408,107,TN,6.1,no,231.7,401-2581,99,21.59,17.59,no,1.65,206.9,6,127,0
56,84,101,0,0,4.9,415,115,DC,13.5,no,108.9,361-8367,109,43.74,15.71,no,3.65,184.8,7,257.3,0
57,103,74,1,0,9.33,510,96,KY,14.1,yes,207.4,368-7555,143,21.39,17.65,no,3.81,207.7,4,125.8,1
58,44,99,3,0,10.52,408,105,OR,7.9,no,233.7,353-3372,75,43.59,18.23,no,2.13,214.5,1,256.4,1
59,76,64,1,0,11.32,415,76,WY,13.6,no,251.6,385-1985,96,35.05,19.75,no,3.67,232.4,2,206.2,0
60,114,52,4,0,6.96,415,82,MD,9.9,no,154.6,352-1798,119,35.67,14.56,no,2.67,171.3,9,209.8,0
61,88,85,4,17,7.46,408,75,MT,9.3,no,165.7,372-4868,116,15.27,19.82,yes,2.51,233.2,7,89.8,1
62,94,97,5,32,,415,120,DE,6.7,no,203.5,390-5267,38,31.18,22.87,yes,1.81,,4,183.4,0
63,44,135,1,0,10.44,415,109,HI,8.4,no,231.9,333-4492,100,32.45,13.72,no,2.27,161.4,2,190.9,0
64,103,120,2,0,7.64,415,86,FL,10.2,no,169.7,336-3738,70,31.37,17.77,no,2.75,209,6,184.5,0
65,117,96,2,0,4.42,415,120,AL,11.2,yes,98.3,410-5455,95,34.1,24.61,no,3.02,289.5,5,200.6,0
66,105,84,2,0,13.74,415,60,VA,14,no,305.4,372-1534,74,22.13,23.63,no,3.78,278,6,130.2,0
67,97,97,1,15,7.08,415,126,MT,6.4,no,157.4,416-7013,113,19.99,16.69,yes,1.73,196.3,3,117.6,0
68,140,68,1,39,13.59,415,89,DC,11.3,yes,302,398-2138,72,24.14,20.54,yes,3.05,241.6,5,142,0
69,101,115,3,0,9.6,415,60,IN,12.3,no,213.4,370-9622,82,38.49,23.53,no,3.32,,4,226.4,1
70,131,94,1,0,,415,107,VA,8.6,yes,170.6,384-9254,93,40.05,16.56,no,2.32,194.8,4,235.6,0
71,123,103,1,0,9.71,415,87,TN,6.4,no,215.8,384-7724,96,24.02,21.56,no,1.73,253.6,2,141.3,0
72,108,72,1,21,8.42,408,86,CT,16.5,no,187.2,388-4879,119,31.74,28.48,yes,4.46,335,4,186.7,0
73,114,79,1,0,,415,111,PA,6.3,no,264.6,365-2008,88,45.61,15.77,no,1.7,185.5,7,268.3,1
74,123,120,1,0,12.74,510,105,WV,10.8,no,283.2,341-8667,93,32.74,17.54,no,2.92,206.4,3,192.6,0
75,84,48,2,0,7.09,415,98,ND,16.4,no,157.6,405-2831,99,35.84,16.12,no,4.43,189.6,3,210.8,0
76,100,132,0,0,10.1,408,95,MT,6.7,no,224.5,406-8465,117,33.17,12.65,no,1.81,148.8,2,195.1,0
77,115,125,2,0,9.46,408,108,KY,9.2,no,210.2,328-3402,123,32.57,17.48,no,2.48,205.6,3,191.6,0
78,85,107,0,0,5.05,415,94,CO,8.9,no,112.2,418-4365,115,22.75,15.34,no,2.4,180.5,4,133.8,0
79,120,67,1,0,6.86,408,138,VA,,no,152.5,356-7208,104,29.95,20.06,no,2.86,236,4,176.2,0
80,89,91,2,0,,415,102,KY,16.7,yes,223.7,330-7754,151,24.65,14.94,no,4.51,175.8,3,145,1
81,117,111,0,0,10.35,408,127,NC,10.3,no,229.9,338-6550,97,38.23,16.31,no,2.78,191.9,3,224.9,0
82,103,10,2,0,9.29,510,77,MT,8.7,no,206.4,374-5965,73,31.11,18.26,no,2.35,214.8,6,183,0
83,124,140,4,27,8.9,415,102,MD,11.5,yes,197.7,412-1076,100,32.11,13.68,yes,3.11,160.9,5,188.9,0
84,120,177,1,0,8.95,415,90,WY,14.6,no,198.9,380-9063,110,29.87,14.33,no,3.94,168.6,4,,0
85,107,88,1,0,6.26,408,84,SD,10.1,no,139.2,343-6643,99,24.17,22.3,no,2.73,262.4,5,142.2,0
86,95,121,1,35,8.88,408,69,AL,11.4,no,197.4,331-8909,42,11.68,17.78,yes,3.08,209.2,4,68.7,0
87,106,155,1,39,11.87,408,101,LA,5.1,no,263.7,353-4880,90,31.16,17.43,yes,1.38,205.1,7,183.3,0
88,118,137,3,0,9.84,510,93,SD,14.7,no,218.6,373-5732,50,41.16,16.24,no,3.97,191,2,242.1,0
89,99,150,3,0,12.83,510,73,MS,10.2,no,285.1,417-6252,100,21.42,20.27,no,2.75,238.5,6,126,0
90,110,112,1,16,9,415,123,DC,11.3,no,200,394-5537,108,37.67,11.07,yes,3.05,130.2,3,221.6,0
91,95,157,3,0,6.82,415,119,HI,2.2,no,151.6,333-7961,79,46.95,14.09,no,0.59,165.8,4,276.2,0
92,115,91,0,0,11.7,510,105,SD,8.3,no,260,327-3850,94,25.33,20.85,no,2.24,245.3,3,149,0
93,73,105,3,0,5.14,408,83,ME,13.3,no,114.2,406-2032,90,19.64,22.72,no,3.59,267.3,5,,0
94,124,74,0,0,10.8,415,94,ID,10.6,no,240.1,365-9696,112,37.59,9.42,no,2.86,110.8,3,221.1,0
95,123,55,3,25,7.91,408,95,CO,11,no,175.7,419-2637,90,28.15,11.57,yes,2.97,,2,165.6,0
96,96,106,2,0,,510,85,TX,12.4,no,191.4,395-3026,88,35.8,21.18,no,3.35,249.2,1,210.6,1
97,127,42,2,0,7.44,408,94,NJ,12,yes,165.3,342-8002,114,30.72,14.84,no,3.24,174.6,6,180.7,0
98,82,145,1,0,11.29,408,103,WY,3.3,no,250.8,405-6559,109,39.03,11.74,no,0.89,138.1,3,,0
99,93,166,3,0,8.86,510,99,OR,7.2,no,196.8,367-4853,110,33.93,18.22,no,1.94,214.3,5,199.6,0
100,79,149,1,43,10.87,510,122,OK,10.9,no,241.5,359-9972,80,35.14,14.84,yes,2.94,174.6,3,206.7,0
101,78,91,1,31,4.71,408,98,OK,9.6,no,104.7,332-8103,114,46.41,18.32,yes,2.59,215.5,2,273,0
102,85,73,2,0,6.93,415,80,DE,15,no,153.9,355-9541,102,43.32,12.19,no,4.05,143.4,7,254.8,0
103,119,130,1,0,8.38,415,99,IA,12.3,no,186.3,361-5277,76,25.57,19.59,no,3.32,230.5,4,150.4,0
104,101,107,1,32,7.54,415,145,AZ,8.2,no,167.6,375-4770,138,22.81,18.01,yes,2.21,211.9,5,134.2,0
105,135,79,2,0,5.71,415,87,KY,,no,126.9,377-5417,112,40.26,15.84,no,2.81,186.4,5,,0
106,85,134,2,0,8.71,415,114,UT,10.9,no,193.6,417-2221,106,44,11.01,no,2.94,,7,258.8,0
107,63,136,0,0,10.08,510,95,DC,9.8,no,224,353-2763,119,34.77,17.75,no,2.65,208.8,2,204.5,0
108,141,148,1,36,11.51,415,60,TN,,no,255.7,419-5501,115,13.19,17.6,yes,2.94,,2,77.6,0
109,121,51,0,28,11.08,510,99,MD,8.3,no,246.2,378-6986,88,47.04,17.31,yes,2.24,,3,276.7,0
110,91,67,1,0,4.96,408,69,WV,8.4,no,110.3,406-6708,71,28.53,14.25,no,2.27,167.7,12,167.8,0
111,94,123,1,0,9.11,408,119,ND,6.5,no,202.4,383-8364,120,27.05,20.54,no,1.76,241.6,1,159.1,0
112,92,89,2,0,6.12,415,126,LA,10.8,no,136,382-4024,73,23.99,21.17,no,2.92,249.1,2,141.1,0
113,84,152,1,0,,510,88,WA,11.8,no,153.2,337-4403,121,27.44,13.91,no,3.19,163.6,5,161.4,0
114,116,138,0,17,,415,88,ID,11.7,yes,145.8,339-7485,99,38.28,14.74,yes,3.16,173.4,4,225.2,0
115,96,97,4,0,8.73,510,101,ME,11.9,no,194.1,346-7656,63,20.54,14.43,no,3.21,169.8,3,120.8,1
116,108,52,3,0,10.66,408,96,IA,7.8,no,236.8,413-4957,87,32.62,22.93,no,2.11,269.8,5,191.9,0
117,117,127,1,36,11.85,510,76,AK,11.2,no,263.3,345-8237,71,31.14,10.78,yes,3.02,126.8,8,183.2,0
118,105,13,3,21,11.7,510,71,MN,,no,260.1,338-7120,123,53.65,17.76,yes,3.27,,3,315.6,0
119,100,161,2,0,10.87,415,135,NC,7.8,no,241.5,394-5489,104,54.79,19.58,no,2.11,230.4,5,322.3,1
120,91,127,0,0,10.94,510,92,NJ,13.9,no,243.1,405-3309,128,41.68,18.46,no,3.75,217.2,6,245.2,1
121,91,66,1,0,8.63,415,68,DC,10.6,no,191.7,402-5155,118,28.44,19.55,no,2.86,230,5,167.3,1
122,87,122,0,0,7.62,510,74,MI,9.5,no,169.3,329-2388,87,24.51,18.04,no,2.57,212.2,4,144.2,0
123,94,13,1,31,11.67,415,95,MT,12.9,no,259.3,347-9421,117,45.1,12.55,yes,3.48,147.6,1,265.3,0
124,80,89,2,0,6.56,415,81,UT,9.5,no,145.7,345-9690,120,15.25,15.28,no,2.57,179.8,4,89.7,0
125,126,68,1,0,8.93,408,125,VA,14.5,yes,198.5,364-9040,121,25.25,18.65,no,3.92,219.4,7,148.5,1
126,95,85,1,33,9.96,408,88,FL,13.5,no,221.3,415-6601,92,35.34,19.85,yes,3.65,233.5,3,,0
127,143,54,3,39,8.96,415,72,AR,9.2,no,199.2,396-2867,120,35.17,10.86,yes,2.48,,1,206.9,0
128,92,96,1,0,13.3,415,114,NE,10.3,no,295.6,410-6791,125,30.7,16.23,no,2.78,190.9,4,180.6,1
129,113,72,2,21,6.09,415,83,VT,8.2,no,135.4,418-3017,118,23.48,22.11,yes,2.21,260.1,2,138.1,0
130,92,123,1,0,11.26,415,76,WI,8.7,no,250.3,371-8452,101,29.27,13.82,no,2.35,162.6,4,172.2,0
131,106,80,2,0,9.17,408,65,MA,,no,203.7,377-8266,86,25.26,17.92,no,2.7,210.8,2,148.6,0
132,97,158,0,0,3.59,510,77,AZ,14.4,no,79.7,362-2314,108,34.88,20.45,no,3.89,240.6,12,,0
133,123,172,2,0,17.77,510,94,VA,12.7,no,395,408-2089,72,28.87,15.56,no,3.43,183.1,7,169.8,0
134,108,101,0,0,10.04,415,98,PA,11.6,yes,223,368-2074,100,32.93,15.86,no,3.13,,8,193.7,0
135,97,60,2,0,4.95,408,121,MT,12.4,no,109.9,360-1852,100,42.96,18.79,no,3.35,221.1,4,252.7,0
136,74,105,2,0,10.26,415,125,WY,13.2,no,228.1,373-2339,113,17.48,23.94,no,3.56,281.7,5,102.8,0
137,125,92,0,0,3.44,510,76,GA,8.6,no,76.4,375-8304,97,35.36,16.91,no,2.32,198.9,6,208,0
138,119,117,1,0,13.46,415,91,NE,10.1,no,299,354-3436,105,17.48,17.57,no,2.73,206.7,7,,0
139,110,39,1,0,4.71,408,116,TN,13.2,no,104.7,364-8731,83,31.82,9.75,no,3.56,114.7,5,187.2,0
140,75,111,2,0,10.33,408,106,MT,12.8,no,229.5,400-1636,94,24.19,10.44,no,3.46,122.8,9,142.3,0
141,112,99,3,0,10.17,510,89,RI,15.8,no,226.1,386-3671,89,36.92,20.97,no,4.27,246.7,7,217.2,0
142,71,99,3,31,10.53,415,58,DC,7.7,no,234,402-5076,115,41.5,17.29,yes,2.08,203.4,4,244.1,0
143,143,173,0,0,6.8,510,134,MN,9.9,no,151.2,372-7990,119,49.61,18.22,no,2.67,214.3,2,,1
144,80,89,2,29,17.19,415,136,NE,7.5,no,381.9,420-6414,147,27.8,23.36,yes,2.03,274.8,5,,0
145,102,46,1,34,6.64,415,96,IN,7.2,no,147.5,368-9751,132,32.54,30.75,yes,1.94,361.8,2,191.4,0
146,82,32,1,0,9.15,408,102,WY,10.2,no,203.3,422-5865,64,29.1,15.78,no,2.75,185.6,7,171.2,0
147,75,142,1,30,12.15,415,97,MO,10.8,no,270,417-2054,83,26.18,14.09,yes,2.92,165.8,5,,0
148,65,156,0,0,10.73,415,116,IL,10.6,no,238.5,343-3296,86,29.67,16.78,no,2.86,197.4,2,174.5,0
149,91,116,3,29,8.67,510,79,ID,11.7,yes,192.7,414-7090,131,27.59,23.74,yes,3.16,279.3,2,162.3,1
150,106,116,1,0,8.91,408,137,MO,12.3,no,198,371-1139,92,8.69,17.73,no,3.32,208.6,3,51.1,0
151,81,78,2,0,7.81,510,82,NY,5.3,no,173.6,362-2353,112,25.99,21.81,no,1.43,256.6,6,152.9,0
152,124,103,0,31,8.83,510,104,DC,8.9,no,196.2,386-2317,98,18.31,16.06,yes,2.4,188.9,3,107.7,0
153,97,52,1,0,8.08,415,128,MI,11,no,179.6,383-6356,118,34.75,23.22,no,2.97,273.2,5,204.4,0
154,92,38,0,0,7.35,510,78,TX,13.9,no,163.3,413-9055,93,25.33,4.18,no,3.75,49.2,11,149,0
155,92,123,2,0,8.52,408,71,TX,9.4,no,189.3,329-5114,104,43.84,17.99,no,2.54,211.6,2,257.9,0
156,105,97,3,43,10.01,415,115,HI,8.3,no,222.4,408-1242,100,20.59,22.12,yes,2.24,260.2,5,121.1,0
157,125,43,1,0,9.66,415,89,WV,11.1,no,214.7,393-4949,102,28.63,20.72,no,3,,2,168.4,0
158,114,7,1,30,11.12,408,116,NV,,no,247,355-8299,105,37.64,14.09,yes,2.92,165.8,12,221.4,0
159,104,106,1,0,6.52,415,117,MT,11,no,144.9,410-9633,81,31.81,21.27,no,2.97,250.2,3,187.1,0
160,96,144,2,48,9.64,408,67,SD,6.5,no,214.2,339-3049,106,32.27,10.49,yes,1.76,123.4,2,189.8,1
161,133,56,4,0,4.58,415,89,ND,,no,101.8,398-1759,94,37.86,23.55,no,3.67,277,4,222.7,0
162,78,95,0,20,10.95,408,94,SD,,no,243.3,406-4840,91,28.17,18.33,yes,2.65,215.6,6,165.7,0
163,72,113,3,0,11.08,408,107,NJ,6.9,no,246.2,421-7270,123,22.46,21.04,no,1.86,247.5,6,132.1,0
164,88,192,2,0,9.56,415,98,CO,11.4,no,212.4,401-6392,105,31.45,19.12,no,3.08,224.9,3,,0
165,57,68,3,0,,415,55,WV,9.6,no,191.3,370-3271,123,39.29,13.04,no,2.59,,4,231.1,0
166,144,162,1,26,9.55,408,129,NC,9.3,no,212.3,340-1876,105,30.55,18.54,yes,2.51,218.1,8,179.7,1
167,93,18,1,0,11.28,408,116,MD,8.2,no,250.6,347-7898,120,46.51,9.74,no,2.21,114.6,4,273.6,0
168,92,59,1,0,5.15,510,88,CO,12.5,no,114.5,331-3842,89,26.11,17.47,no,3.38,205.5,10,153.6,0
169,83,90,1,0,7.69,415,88,WY,7.6,no,170.9,359-9992,99,41.89,13.63,no,2.05,160.3,7,246.4,0
170,99,125,0,0,10.95,510,107,NV,10.9,no,243.3,336-1574,92,28.66,14.93,no,2.94,175.6,7,168.6,0
171,106,87,0,28,7.89,408,147,HI,11.2,no,175.4,353-6218,69,24.4,19,yes,3.02,223.5,5,143.5,0
172,77,163,0,0,7.53,408,108,NY,,no,167.3,413-2241,82,42.11,22.91,no,2.59,269.5,7,247.7,1
173,117,3,2,36,4.68,415,125,CT,11.9,no,103.9,401-6162,89,20.08,18.83,yes,3.21,221.5,6,118.1,0
174,114,71,4,0,9.29,510,140,IL,13.8,yes,206.5,330-7137,80,31.64,16.88,no,3.73,,5,186.1,1
175,74,109,2,0,11.89,415,75,SC,9,no,264.3,360-1745,94,37.83,14.42,no,2.43,169.7,3,,0
176,78,125,0,0,4.83,415,142,NH,12.2,yes,107.3,357-1938,84,50.73,22.99,no,3.29,270.5,2,298.4,1
177,99,92,2,16,,510,134,WV,,no,185.1,335-7257,96,31.28,6.49,yes,3.43,76.4,3,184,0
178,91,74,2,33,6.21,510,96,MN,14.6,no,138,344-5117,92,32.93,20.92,yes,3.94,246.1,3,193.7,0
179,125,70,0,0,11.43,415,104,NY,10.9,no,254.1,366-2536,72,30.16,19.23,no,2.94,226.2,4,177.4,0
180,67,157,2,0,11.21,408,98,MT,10.2,no,249,417-3257,72,40.83,13.01,no,2.75,,6,240.2,0
181,81,88,2,0,4.03,415,90,AZ,12.8,no,89.6,417-9844,107,29.38,16.44,no,3.46,193.4,5,172.8,0
182,78,103,1,37,,415,108,CO,10.6,no,244.7,420-7066,110,26.1,20.56,yes,2.86,241.9,3,153.5,0
183,61,76,0,0,7.92,408,127,GA,8.4,no,175.9,361-4910,97,34.61,13.74,no,2.27,161.7,3,,0
184,79,129,2,34,8.55,415,113,MD,,no,190.1,370-5626,117,34.77,11.29,yes,4,132.8,9,204.5,0
185,112,44,3,0,8.66,510,92,GA,10.2,no,192.4,419-8987,90,48.98,21.93,no,2.75,258,4,288.1,1
186,133,66,1,0,9.65,510,99,ME,5.3,no,214.4,331-6270,122,20.06,21.09,no,1.43,248.1,5,118,0
187,89,37,0,0,13.82,415,88,NH,,no,307.1,341-7332,86,35.02,15.81,no,2.27,,11,206,0
188,123,109,4,46,7.38,415,84,SC,,no,163.9,388-6479,99,36.98,19.86,yes,2.43,233.7,3,217.5,0
189,115,217,4,0,,408,128,TX,9.3,no,306.6,385-7082,107,29.99,13.5,no,2.51,158.8,3,176.4,0
190,65,98,2,0,,415,109,TN,6,no,219.5,351-7016,104,27.68,15.73,no,1.62,185,3,162.8,0
191,107,153,1,0,6.43,510,96,VA,,no,142.8,394-9121,97,33.22,13.14,no,3.13,154.6,6,,0
192,104,129,2,33,11.85,415,88,RI,5.9,no,263.4,366-7360,175,20.33,23.69,yes,1.59,278.7,2,119.6,0
193,151,176,0,0,2.55,415,84,PA,8.7,no,56.6,422-5264,99,28.82,9.6,no,2.35,112.9,4,169.5,0
194,119,129,0,0,5.82,415,105,RI,13.1,no,129.4,369-5222,97,23.72,24.59,no,3.54,,8,139.5,0
195,109,139,1,0,9.55,510,107,NY,11.1,no,212.3,399-7268,118,40.22,14.44,no,3,169.9,2,236.6,1
196,109,65,1,0,5.65,408,117,IN,8,no,125.6,336-4960,111,35.31,18.49,no,2.16,217.5,5,207.7,0
197,118,94,0,0,6.75,415,88,MT,13.4,no,150,407-8376,131,23.38,17.27,no,3.62,203.2,2,137.5,0
198,80,56,1,0,6.74,408,96,WA,15.5,no,149.7,376-2550,56,35.77,15.01,no,4.19,176.6,4,210.4,0
199,110,166,0,0,11.07,408,109,WA,,no,246.1,354-9492,119,46.63,4.5,no,2.94,,5,274.3,0
200,94,149,1,0,8.47,408,92,NJ,11.1,no,188.3,332-9891,108,23.87,23.1,no,3,271.8,9,140.4,0
201,96,146,2,23,13.21,408,124,CT,,no,293.5,380-3329,135,25.43,20.38,yes,2,239.8,4,149.6,0
202,82,68,0,29,7.55,415,105,NY,9.9,no,167.8,349-4762,70,40.72,17.32,yes,2.67,203.8,6,239.5,0
203,104,232,1,0,5.32,408,115,NM,11.8,no,118.3,386-9177,77,28.15,16.65,no,3.19,195.9,3,165.6,0
204,67,133,2,0,8.64,415,133,LA,3.1,no,192,360-7079,95,36.75,18.89,no,0.84,222.2,1,216.2,0
205,101,82,3,0,7.88,510,87,UT,12.4,yes,175.1,406-4604,86,35.5,18.16,no,3.35,213.7,6,208.8,0
206,98,62,0,0,9.81,415,95,WA,,no,218,422-3454,122,17,14.75,no,2.73,173.5,4,100,0
207,97,112,2,0,13.78,415,94,SC,14.2,no,306.2,363-8033,100,45.22,18.24,no,3.83,214.6,2,266,1
208,95,87,1,28,11.25,408,97,HI,0,no,250.1,360-2690,109,25.74,12.95,yes,0,152.4,0,,0
209,98,136,2,29,10.96,408,85,DE,9,yes,243.6,351-1389,104,14.48,19.58,yes,2.43,230.4,3,85.2,0
210,94,100,6,0,10.39,408,102,WA,9.5,no,230.8,382-4932,125,12.04,18.33,no,2.57,215.6,1,70.8,1
211,105,209,0,0,9.04,415,87,NY,10.7,no,200.8,369-8703,95,26.13,16.03,no,2.89,188.6,2,,0
212,121,100,0,38,13.05,510,131,WI,9.8,no,290,369-3756,61,38.2,24.99,yes,2.65,,6,224.7,0
213,105,159,1,0,10.89,415,147,NE,10.4,no,242,362-5111,106,32.15,20.92,no,2.81,246.1,5,189.1,1
214,65,95,4,0,8.55,408,98,AZ,11.8,no,190,334-2577,115,40.48,15.91,no,3.19,187.2,4,238.1,0
215,127,50,1,0,7.51,415,100,ND,9.6,no,166.8,342-1960,105,50.2,10.83,no,2.59,127.4,6,295.3,0
216,121,93,0,0,7.45,415,131,GA,12,no,165.5,371-2155,125,30.52,16.31,no,3.24,191.9,4,179.5,0
217,107,94,3,28,,415,86,WV,9.9,no,225.6,396-1106,86,15.76,10.86,yes,2.67,127.8,4,92.7,0
